epoch,start_height,end_height,target,target_hex,epoch_minimum,epoch_minimum_hex,epoch_minimum_height,pre_g1,pre_g2,pre_g2_over_g1,lambda,deposit,transition_class,crossing_count,selective_opportunity,deeper_records_after_first_crossing,max_shallow_over_deep,post_g1,post_g2
26,52416,54431,2351604382534916182160036119666703740669209516522695514729880748032,0000000016546f00000000000000000000000000000000000000000000000000,1394440931418869444694502824466643903633238060345743134358715276,00000000000363c341c03c72240c5ed0e2822efd19edaa51a17f4018e82b3b8c,53692,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,1.0321911464989233,0.34180359666589,False,neither,0,False,0,,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303
27,54432,56447,2098151686442211199940455690614286210348997571531298297574806519808,0000000013ec5300000000000000000000000000000000000000000000000000,291294114190283069630871810297646705120497703302853918925161434,000000000000b545d467b95ad844b8c718f9b76e9426e4efab7e097ca09a83da,55593,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,1.0321911464989233,0.38309281501408854,True,unique-min,1,False,0,,291294114190283069630871810297646705120497703302853918925161434,386269334894100555419319346037768029933462290621508939945613329
28,56448,58463,2275790652544821279950241890112140030244814501479017131553197129728,00000000159c2400000000000000000000000000000000000000000000000000,1402512810606278733750596373811023235674880215715260047349487546,00000000000368c92e6f28ae5b2de92e9f1eb030bbf6f55c4cb62cdca94797ba,56758,291294114190283069630871810297646705120497703302853918925161434,386269334894100555419319346037768029933462290621508939945613329,1.326045793845929,0.342175137364121,False,neither,0,False,0,,291294114190283069630871810297646705120497703302853918925161434,386269334894100555419319346037768029933462290621508939945613329
29,58464,60479,1622203955679450683159610732218403647246163922223729367236739072000,000000000f675c00000000000000000000000000000000000000000000000000,256504973721886974571032644602212583296932206772138563793897041,0000000000009f9f9991befc49dc787a190206d1dd32467b687e32157d48c651,60040,291294114190283069630871810297646705120497703302853918925161434,386269334894100555419319346037768029933462290621508939945613329,1.326045793845929,0.4800376527379043,True,unique-min,2,True,1,1.1493181206418208,256504973721886974571032644602212583296932206772138563793897041,291294114190283069630871810297646705120497703302853918925161434
30,60480,62495,1551048739079662593758612650769536967206480773659027300489594142720,000000000eba6400000000000000000000000000000000000000000000000000,37670094100254190824844625878992154354875557412862966526794103,000000000000177131355902f9a7a9d94d1f57aba9ef4430bb01123190325977,61068,256504973721886974571032644602212583296932206772138563793897041,291294114190283069630871810297646705120497703302853918925161434,1.1356275473477402,0.3786141076108694,True,unique-min,1,False,0,,94362906390503277866051824525164026635549157805116629904227484,256504973721886974571032644602212583296932206772138563793897041
31,62496,64511,1389323280429349294447518501872137680563441219958739463959193059328,000000000d314200000000000000000000000000000000000000000000000000,120609841907186578160624578467058918583427224727242525647576902,0000000000004b0e41a07353bbc38b644df42c26cb819e94c381a5783a281f46,63048,94362906390503277866051824525164026635549157805116629904227484,256504973721886974571032644602212583296932206772138563793897041,2.718281828459045,0.3722056876953202,True,new-second,1,False,0,,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902
32,64512,66527,1147152896345386682952518188670047452875537662186691235300769792000,000000000ae49300000000000000000000000000000000000000000000000000,297268162747583661276165122677045971158416997635484274015407156,000000000000b8fd8cf0e9af61452177271830cc929e4951ef3a9035cf7d0c34,65886,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,1.2781488671837349,0.21195905276403565,False,neither,0,False,0,,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902
33,66528,68543,594007861936424273334637371358095438347537381057796937154824241152,0000000005a3f400000000000000000000000000000000000000000000000000,247774743152858573765060274373667844011084562367027358832797219,0000000000009a30cb3daf1e47de45a30ed4c22dcc76966f72ea23cc431c2623,66997,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,1.2781488671837349,0.40933707593067525,False,neither,0,False,0,,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902
34,68544,70559,148501965484106068333659342839523859586884345264449234288706060288,000000000168fd00000000000000000000000000000000000000000000000000,79780010462417563489560590902529856414686783958388746275620371,00000000000031a5b05df6bc5e585bd69016aab365e9fd8bdaef265094198613,69446,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,1.2781488671837349,1.637348303722701,True,unique-min,2,True,1,1.14224379094084,79780010462417563489560590902529856414686783958388746275620371,94362906390503277866051824525164026635549157805116629904227484
35,70560,72575,110393429764504113949181711819653188468070301266890302199533928448,00000000010c5a00000000000000000000000000000000000000000000000000,75097868263358893692264649001666853149799932669383560656905880,0000000000002ebbc7d88175555a0941f76cb113a305bdc5631f66b0c1e0e698,71253,79780010462417563489560590902529856414686783958388746275620371,94362906390503277866051824525164026635549157805116629904227484,1.1827888445183317,1.7232512812499186,True,unique-min,1,False,0,,75097868263358893692264649001666853149799932669383560656905880,79780010462417563489560590902529856414686783958388746275620371
