geology,scenario,alpha,model,policy,horizon,trials,honest_deposits_mean,attack_deposits_mean,delta_mean,elasticity,delta_median,delta_p90,delta_p95,delta_p99,delta_maximum,maximum_prefix_delta_observed,probability_any_state_raising_selection,registered_conditional_success_probability,honest_k0_epochs_mean,honest_k1_epochs_mean,honest_k_ge_2_epochs_mean,honest_exact_p_k0_epochs_mean,honest_exact_p_k1_epochs_mean,honest_exact_p_k_ge_2_epochs_mean,attacked_counterfactual_k0_epochs_mean,attacked_counterfactual_k1_epochs_mean,attacked_counterfactual_k_ge_2_epochs_mean,attacked_counterfactual_exact_p_k0_epochs_mean,attacked_counterfactual_exact_p_k1_epochs_mean,attacked_counterfactual_exact_p_k_ge_2_epochs_mean,actual_attacked_k0_epochs_mean,actual_attacked_k1_epochs_mean,actual_attacked_k_ge_2_epochs_mean,selectable_epochs_mean,selection_attempt_epochs_mean,state_raising_selection_epochs_mean,harmful_selection_epochs_mean,discarded_valid_candidates_mean,replacement_discoveries_mean,attacker_replacements_mean,honest_replacements_mean,withheld_bitcoin_blocks_mean,bitcoin_reward_cost_mean_R,extra_sha_trials_mean,R_per_expected_global_marginal_deposit,attacker_captured_marginal_deposits_retain_share,R_per_expected_attacker_captured_deposit,divergence_duration_mean,probability_reconvergence_given_divergence,reconvergence_time_mean_given_observed,probability_terminal_state_diverged,terminal_g1_relative_difference_mean,terminal_g2_relative_difference_mean,private_fork_or_orphan_cost_R,latency_cost_R
c10-eclip,A-constant,0.01,B,prefer-shallow,100,512,1.9765625,1.982421875,0.005859375,0.0029644268774703555,0.0,0.0,0.0,0.0,3.0,3.0,0.001953125,,98.0234375,1.9609375,0.015625,97.99752794152928,1.980953355402069,0.021518703068596975,98.017578125,1.966796875,0.015625,97.99682334771859,1.9816507270332375,0.021525925248121382,98.017578125,1.96875,0.013671875,0.015625,0.001953125,0.001953125,0.0,0.001953125,0.001953125,0.001953125,0.0,0.0,0.0,1.0553623523319525e+21,,5.859375e-05,,0.15625,0.0,,0.001953125,1.4032485162112834e-09,2.119726172005042e-09,0.0,0.0
c10-eclip,A-constant,0.01,B,prefer-shallow,476,256,5.0078125,5.01953125,0.01171875,0.00234009360374415,0.0,0.0,0.0,0.0,3.0,3.0,0.00390625,,470.9921875,4.96484375,0.04296875,470.89765143946596,5.062899004078913,0.03944955645439671,470.98046875,4.9765625,0.04296875,470.89485491859136,5.065676017171828,0.03946906423612623,470.98046875,4.98046875,0.0390625,0.04296875,0.00390625,0.00390625,0.0,0.00390625,0.00390625,0.00390625,0.0,0.0,0.0,2.110724704663905e+21,,0.0001171875,,1.78125,0.0,,0.00390625,0.0,7.235694526095286e-10,0.0,0.0
c10-eclip,A-constant,0.01,B,prefer-shallow,800,256,6.24609375,6.2578125,0.01171875,0.001876172607879925,0.0,0.0,0.0,0.0,3.0,3.0,0.00390625,,793.75390625,6.19921875,0.046875,793.7164143106265,6.241335878448985,0.04224981092438085,793.7421875,6.2109375,0.046875,793.7131459251702,6.244583997328578,0.04227007750100424,793.7421875,6.21484375,0.04296875,0.046875,0.00390625,0.00390625,0.0,0.00390625,0.00390625,0.00390625,0.0,0.0,0.0,2.110724704663905e+21,,0.0001171875,,3.046875,0.0,,0.00390625,0.0,7.235694526095286e-10,0.0,0.0
c10-eclip,A-constant,0.01,B,prefer-shallow,2000,128,8.6484375,8.6484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1991.3515625,8.609375,0.0390625,1991.5112128626731,8.44289529858428,0.045891838742658966,1991.3515625,8.609375,0.0390625,1991.5112128626731,8.44289529858428,0.045891838742658966,1991.3515625,8.609375,0.0390625,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,prefer-shallow,10000,32,13.46875,13.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9986.53125,13.46875,0.0,9987.183539201951,12.772250761438343,0.044210036465180125,9986.53125,13.46875,0.0,9987.183539201951,12.772250761438343,0.044210036465180125,9986.53125,13.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,prefer-shallow,100000,4,20.25,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99979.75,20.25,0.0,99981.7282941014,18.221848141690067,0.04985769569841428,99979.75,20.25,0.0,99981.7282941014,18.221848141690067,0.04985769569841428,99979.75,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,publish-minimum,100,512,1.9765625,1.9765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,98.0234375,1.9609375,0.015625,97.99752794152928,1.980953355402069,0.021518703068596975,98.0234375,1.9609375,0.015625,97.99752794152928,1.980953355402069,0.021518703068596975,98.0234375,1.9609375,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,publish-minimum,476,256,5.0078125,5.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,470.9921875,4.96484375,0.04296875,470.89765143946596,5.062899004078913,0.03944955645439671,470.9921875,4.96484375,0.04296875,470.89765143946596,5.062899004078913,0.03944955645439671,470.9921875,4.96484375,0.04296875,0.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,publish-minimum,800,256,6.24609375,6.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,793.75390625,6.19921875,0.046875,793.7164143106265,6.241335878448985,0.04224981092438085,793.75390625,6.19921875,0.046875,793.7164143106265,6.241335878448985,0.04224981092438085,793.75390625,6.19921875,0.046875,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,publish-minimum,2000,128,8.6484375,8.6484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1991.3515625,8.609375,0.0390625,1991.5112128626731,8.44289529858428,0.045891838742658966,1991.3515625,8.609375,0.0390625,1991.5112128626731,8.44289529858428,0.045891838742658966,1991.3515625,8.609375,0.0390625,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
